1,"Brasile","P","Nicolas","2017-2018",False
2,"Italia","C","Rômulo","2017-2018",True
3,"Italia","D","Nicolò Cherubin","2017-2018",True
4,"Italia","C","Simon Laner","2017-2018",True
5,"Argentina","C","Bruno Zuculini","2017-2018",False
7,"Italia","A","Daniele Verde","2017-2018",True
8,"Italia","C","Marco Fossati","2017-2018",True
9,"Italia","A","Moise Kean","2017-2018",True
10,"Italia","A","Alessio Cerci","2017-2018",True
11,"Italia","A","Giampaolo Pazzini","2017-2018",True
12,"Italia","D","Antonio Aldo Caracciolo","2017-2018",True
14,"Argentina","C","Franco Zuculini","2017-2018",False
17,"Italia","P","Marco Silvestri","2017-2018",True
20,"Italia","C","Mattia Zaccagni","2017-2018",True
21,"Corea del Sud","A","Lee Seung-woo","2017-2018",False
22,"Italia","D","Matteo Bianchetti","2017-2018",True
23,"Italia","C","Simone Calvano","2017-2018",True
24,"Italia","C","Daniel Bessa","2017-2018",True
26,"Uruguay","D","Martin Caceres","2017-2018",False
27,"Italia","C","Mattia Valoti","2017-2018",True
28,"Italia","D","Alex Ferrari","2017-2018",True
29,"Slovacchia","A","Lubomir Tupta","2017-2018",True
33,"Albania","D","Marash Kumbulla","2017-2018",True
37,"Italia","A","Enrico Bearzotti","2017-2018",True
40,"Italia","P","Ferdinando Coppola","2017-2018",True
69,"Francia","D","Samuel Souprayen","2017-2018",True
75,"Francia","D","Thomas Heurtaux","2017-2018",True
77,"Liechtenstein","C","Marcel Büchel","2017-2018",True
93,"Algeria","A","Mohamed Fares","2017-2018",False
97,"Italia","D","Gianfilippo Felicioli","2017-2018",True
98,"Slovacchia","C","Simon Stefanec","2017-2018",True
